NMFS Tracking Number,Common Name,Population Name,Species Determination,Critical Habitat Determination,Question
SER-2014-15668,"Turtle, loggerhead sea",Northwest Atlantic Ocean DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2015-16724,"Sawfish, smalltooth",,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2015-16737,"Whale, North Atlantic right",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2015-16914,"Sawfish, smalltooth",U.S. DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2015-16936,"Turtle, hawksbill sea",Range-wide,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2015-16942,"Coral, staghorn",<NA>,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2015-17195,"Sawfish, smalltooth",U.S. DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2015-17277,"Sawfish, smalltooth",U.S. DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2015-17457,"Sawfish, smalltooth",U.S. DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
SER-2015-17551,"Sawfish, smalltooth",U.S. DPS,Not Likely to Adversely Affect,May Affect - Likely to Adversely Affect,
