"","NMFS.Tracking.Number","Common.Name","Population.Name","NMFS.Final.Determination..Species.","NMFS.Final.Determination..Critical.Habitat."
"19","FPR-2012-9025","Turtle, loggerhead sea","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"20","FPR-2013-9028","Seagrass, Johnson's","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"21","FPR-2013-9028","Whale, killer","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"22","FPR-2013-9049","Whale, beluga","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"23","FPR-2015-9110","Bocaccio","Puget Sound/Georgia Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"24","FPR-2015-9110","Rockfish, canary","Puget Sound/Georgia Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"25","FPR-2015-9110","Rockfish, yelloweye","Puget Sound/Georgia Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"26","FPR-2015-9110","Salmon, chum","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"27","FPR-2015-9110","Eulachon","Southern DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"28","FPR-2015-9119","Whale, North Pacific right","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"29","FPR-2015-9119","Seal, Hawaiian monk","Hawaiian Islands Stock","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"30","FPR-2015-9136","Whale, North Pacific right","Range-wide","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"31","FPR-2016-9151","Turtle, loggerhead sea","Northwest Atlantic Ocean DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"32","FPR-2016-9163","Seal, Hawaiian monk","Hawaiian Islands Stock","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"33","FPR-2016-9176","Salmon, Atlantic","Gulf of Maine DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"34","FPR-2016-9176","Turtle, loggerhead sea","Northwest Atlantic Ocean DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"35","FPR-2017-9186","Whale, killer","Southern Resident","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"36","FPR-2017-9186","Whale, beluga","Cook Inlet","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"37","FPR-2017-9186","Whale, North Pacific right","Range-wide","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"38","FPR-2017-9186","Sea lion, Steller","Western US DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"39","FPR-2017-9186","Seal, ringed","Arctic Subspecies","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"40","NER-2001-1245","","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"41","NER-2012-1461","Turtle, loggerhead sea","Northwest Atlantic Ocean DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"42","NER-2012-1956","Salmon, Atlantic","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"43","NER-2013-10022","Salmon, Atlantic","Gulf of Maine DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"44","NER-2013-10537","Whale, North Atlantic right","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"45","NER-2013-9613","Salmon, Atlantic","Gulf of Maine DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"46","NER-2013-9640","Salmon, Atlantic","Gulf of Maine DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
